rurality,AREA,AREA_TITLE,emp_at_risk,emp_tot,pct_at_risk
Rural,4100008,Eastern Oregon nonmetropolitan area,38653.71333,63740,0.6064278841
Rural,4200001,Western Pennsylvania nonmetropolitan area,77243.51,131870,0.585754986
Rural,4200002,Northern Pennsylvania nonmetropolitan area,85769.06733,141770,0.6049874256
Rural,4200003,Southern Pennsylvania nonmetropolitan area,107484.9233,175780,0.6114741343
Rural,4500002,Upper Savannah South Carolina nonmetropolitan area,45452.44067,73520,0.6182323268
Rural,4500004,Lower Savannah South Carolina nonmetropolitan area,29057.21867,47080,0.617188162
Rural,4500006,Northeast South Carolina nonmetropolitan area,53045.60733,87300,0.6076243681
Rural,4600002,East South Dakota nonmetropolitan area,77936.44633,124800,0.6244907559
Rural,4600003,West South Dakota nonmetropolitan area,33961.241,56960,0.5962296524
Rural,4700001,West Tennessee nonmetropolitan area,72945.71267,120900,0.6033557706
Rural,4700002,South Central Tennessee nonmetropolitan area,62133.20867,100990,0.6152411988
Rural,4700003,North Central Tennessee nonmetropolitan area,63336.90733,104290,0.6073152491
Rural,4700004,East Tennessee nonmetropolitan area,83881.21733,130000,0.6452401333
Rural,4800001,West Texas Region of Texas nonmetropolitan area,108144.8173,187400,0.5770801352
Rural,4800002,North Texas Region of Texas nonmetropolitan area,154530.7587,263490,0.5864767493
Rural,4800003,Big Thicket Region of Texas nonmetropolitan area,55889.91267,97870,0.5710627635
Rural,4800004,Hill Country Region of Texas nonmetropolitan area,107987.7307,186120,0.5802048714
Rural,4800005,Border Region of Texas nonmetropolitan area,28728.46833,51040,0.5628618404
Rural,4800006,Coastal Plains Region of Texas nonmetropolitan area,75149.295,136300,0.5513521277
Rural,4900006,Eastern Utah nonmetropolitan area,45419.434,77890,0.5831227885
Rural,4900007,Central Utah nonmetropolitan area,28987.562,48980,0.591824459
Rural,5000001,Southern Vermont nonmetropolitan area,49917.12233,90590,0.5510224344
Rural,5000002,Northern Vermont nonmetropolitan area,32175.47,61090,0.5266896382
Rural,5100001,Southwest Virginia nonmetropolitan area,63411.60767,108830,0.5826666146
Rural,5100002,Southside Virginia nonmetropolitan area,52067.91367,91180,0.5710453352
Rural,5100003,Northeast Virginia nonmetropolitan area,20581.836,40540,0.5076920572
Rural,5100004,Northwest Virginia nonmetropolitan area,33888.317,57170,0.5927639846
Rural,5300006,Western Washington nonmetropolitan area,71028.685,118430,0.5997524698
Rural,5300007,Eastern Washington nonmetropolitan area,53575.35033,92380,0.5799453381
Rural,5400001,Southern West Virginia nonmetropolitan area,35288.285,62160,0.5677008526
Rural,5400002,Northern West Virginia nonmetropolitan area,72255.634,124790,0.5790178219
Rural,5500001,Northwestern Wisconsin nonmetropolitan area,26415.584,42590,0.6202297253
Rural,5500002,Northeastern Wisconsin nonmetropolitan area,112362.814,184170,0.6101037845
Rural,5500003,South Central Wisconsin nonmetropolitan area,122779.6013,195660,0.627515084
Rural,5500004,Western Wisconsin nonmetropolitan area,79273.053,128360,0.6175837722
Rural,5600006,Western Wyoming nonmetropolitan area,51312.13,88440,0.5801914292
Rural,5600007,Eastern Wyoming nonmetropolitan area,44889.72333,75790,0.5922908475
Rural,6600001,Guam,28723.37467,47190,0.60867503
Rural,7200006,Puerto Rico nonmetropolitan area,9207.103,14190,0.6488444679
Rural,7800001,Virgin Islands,16051.18167,26020,0.616878619
